workload,dtype,batch_size,total_samples,throughput,latency_p50,latency_p99,energy_total,avg_power,achieved_gflops,utilization_pct,arith_intensity,phase_staging,phase_compute,phase_output,tta_sec
deepseek_v2_mla_mla_prefill_b4_s1024,bf16,4,204800,206068.72931440437,19.740671157836914,34.7064323425293,393.455,307.2033571428571,78787.70470553092,0.21764559310920145,1586.9347854960818,156.57353,993.8431739807129,57.289323,N/A
deepseek_v2_mla_mla_prefill_b4_s2048,bf16,4,409600,200727.63954182342,37.581825256347656,68.41753387451172,816.778,325.2075185185185,93583.86316578205,0.25851895902149735,2279.8641733823642,255.393735,2040.5759811401367,101.236389,N/A
deepseek_v2_mla_mla_prefill_b4_s4096,bf16,4,819200,292622.25851053523,55.9370231628418,73.97478485107422,1214.021,305.84569230769233,185521.12603666304,0.5124892984438205,3403.4532102211724,509.92186,2799.513626098633,146.900315,N/A
deepseek_v2_mla_mla_prefill_b4_s8192,bf16,4,1638400,241172.6919681863,135.5694122314453,157.8751983642578,2779.583,320.7967764705882,233826.47144299548,0.6459294791242969,5472.307046260132,1006.753159,6793.4722900390625,297.230204,N/A
deepseek_v2_mla_mla_prefill_b16_s128,bf16,16,102400,437924.2310879018,4.676608085632324,4.768767833709717,81.762,266.0126,135290.8685540307,0.37373168108848254,984.5270242708546,85.083651,233.8304042816162,46.118765,N/A
deepseek_v2_mla_mla_prefill_b16_s256,bf16,16,204800,409794.0762884949,9.994239807128906,10.169343948364258,176.947,235.549875,130897.43358067503,0.3615951203886051,1325.8005047151016,138.714377,499.7632026672363,49.216764,N/A
deepseek_v2_mla_mla_prefill_b16_s512,bf16,16,409600,417885.4887745568,19.59014320373535,19.951616287231445,402.322,256.15128571428573,142245.70637975866,0.3929439402755764,1664.5508176199046,377.176665,980.1728248596191,78.044183,N/A
deepseek_v2_mla_mla_prefill_b16_s1024,bf16,16,819200,409144.3745744795,40.03839874267578,40.225791931152344,776.075,280.271,156431.04256114774,0.432129951826375,2052.4856345286667,659.130869,2002.2272109985352,142.426885,N/A
deepseek_v2_mla_mla_prefill_b16_s2048,bf16,16,1638400,373574.3005365942,87.7107162475586,217.35321044921875,2299.231,309.5367361111111,174168.9699707998,0.48112975130055197,2631.471699817127,1161.147222,4385.740661621094,388.642012,N/A
deepseek_v2_mla_mla_prefill_b16_s4096,bf16,16,3276800,274357.8298520073,237.82809448242188,434.3162841796875,5715.932,324.49762285714286,173941.5647674904,0.48050156013118894,3672.8224403017066,2050.270669,11943.526458740234,699.562134,N/A
deepseek_v2_mla_mla_prefill_b32_s128,bf16,32,204800,415110.01281969994,9.861120223999023,15.538175582885742,216.128,195.29649999999998,128242.71915791585,0.35426165513236424,1282.2781245849383,265.825233,493.3631896972656,114.867798,N/A
deepseek_v2_mla_mla_prefill_b32_s256,bf16,32,409600,374917.97098959546,21.818368911743164,30.640127182006836,427.267,261.4450625,119757.22209137709,0.3308210555010417,1561.9985916594947,319.840142,1092.5056457519531,75.858465,N/A
deepseek_v2_mla_mla_prefill_b32_s512,bf16,32,819200,412275.48774625367,39.73632049560547,44.26240158081055,813.682,283.25944444444445,140336.09577949048,0.3876687728715207,1827.3243719132488,604.351351,1987.0208740234375,140.044311,N/A
deepseek_v2_mla_mla_prefill_b32_s1024,bf16,32,1638400,227274.34005008647,136.43673706054688,212.86399841308594,2362.71,302.499802631579,86895.39480631406,0.24004252708926538,2157.999142076626,1223.170057,7208.908843994141,280.664081,N/A
