workload,dtype,batch_size,total_samples,throughput,latency_p50,latency_p99,energy_total,avg_power,achieved_gflops,utilization_pct,arith_intensity,phase_staging,phase_compute,phase_output,tta_sec
llama2_7b_mha_mha_prefill_b4_s1024,bf16,4,204800,1309328.977812497,3.117055892944336,19.82975959777832,97.753,209.49883333333332,197702.0556823752,0.5461382753656774,1843.2,117.433278,156.41599893569946,48.066868,N/A
llama2_7b_mha_mha_prefill_b4_s2048,bf16,4,409600,954881.8335293691,8.40601634979248,19.700735092163086,191.872,217.19688888888888,160202.58775598268,0.44254858496127814,2560.0,231.077435,428.95359992980957,44.750162,N/A
llama2_7b_mha_mha_prefill_b4_s4096,bf16,4,819200,837871.8003466026,19.534847259521484,25.430015563964844,404.231,256.8112,168685.87409668593,0.4659830776151545,3510.8571428571427,399.528651,977.7152061462402,151.959474,N/A
llama2_7b_mha_mha_prefill_b4_s8192,bf16,4,1638400,729062.2458394545,44.18560028076172,61.97657775878906,915.106,275.2925806451613,195706.1564142981,0.5406247414759616,5041.2307692307695,986.374992,2247.270393371582,201.553669,N/A
llama2_7b_mha_mha_prefill_b16_s128,bf16,16,102400,1373626.347921095,1.4909440279006958,3.2174079418182373,14.5,272.3723333333333,187245.7107817023,0.5172533447008352,1188.5714285714287,73.428218,74.54720139503479,29.047596,N/A
llama2_7b_mha_mha_prefill_b16_s256,bf16,16,204800,1267828.826160157,3.224575996398926,8.244223594665527,52.895,237.3738,175482.7640570021,0.48475901673204996,1689.6,133.288982,161.53600215911865,24.483451,N/A
llama2_7b_mha_mha_prefill_b16_s512,bf16,16,409600,1089028.034064397,7.3809919357299805,10.789888381958008,142.362,212.02975,155302.29773920684,0.4290118722077537,2176.0,238.085766,376.11520290374756,55.57186,N/A
llama2_7b_mha_mha_prefill_b16_s1024,bf16,16,819200,1118177.3533907328,14.631936073303223,18.910207748413086,288.813,236.79241666666667,168839.12685730186,0.4664064277826019,2633.1428571428573,429.463742,732.6208114624023,92.801717,N/A
llama2_7b_mha_mha_prefill_b16_s2048,bf16,16,1638400,1053879.618303734,31.086591720581055,33.10899353027344,637.543,265.2442380952381,176811.659942793,0.4884299998419696,3150.769230769231,788.454452,1554.6367645263672,299.340018,N/A
llama2_7b_mha_mha_prefill_b16_s4096,bf16,16,3276800,945975.9475799791,69.19475555419922,72.74598693847656,1433.339,303.78747727272724,190450.11364024784,0.5261052862990272,3932.16,2166.244349,3463.9358520507812,410.783736,N/A
llama2_7b_mha_mha_prefill_b16_s8192,bf16,16,6553600,426090.0121260486,304.5458068847656,348.0862731933594,5543.501,323.8743216374269,114377.66670210139,0.3159604052544237,5349.877551020408,3800.134601,15380.787658691406,768.138922,N/A
llama2_7b_mha_mha_prefill_b32_s128,bf16,32,204800,1279590.5088518842,3.200000047683716,7.4106879234313965,74.728,191.5522,174427.22666328357,0.4818431675781314,1664.0,136.357368,160.05120277404785,99.647916,N/A
llama2_7b_mha_mha_prefill_b32_s256,bf16,32,409600,935563.1263773522,8.508416175842285,21.07596778869629,171.285,193.653,129493.19338616211,0.3577160038291771,2112.0,338.582339,437.81118392944336,76.136917,N/A
llama2_7b_mha_mha_prefill_b32_s512,bf16,32,819200,1040176.8134830707,15.724543571472168,23.029760360717773,340.2,237.23384615384614,148335.80416297613,0.4097674148148512,2486.8571428571427,441.287886,787.5584125518799,191.731933,N/A
llama2_7b_mha_mha_prefill_b32_s1024,bf16,32,1638400,993603.7103457721,32.80281448364258,39.86943817138672,642.056,249.96991304347827,150029.1366018521,0.41444512873439804,2835.6923076923076,1000.405112,1648.9471435546875,269.701594,N/A
llama2_7b_mha_mha_prefill_b32_s2048,bf16,32,3276800,1035481.4322541059,63.278079986572266,67.52051544189453,1303.258,305.2062682926829,173724.95652916504,0.4799031948319476,3276.8,2235.347871,3164.518356323242,360.328478,N/A
llama2_7b_mha_mha_prefill_b32_s4096,bf16,32,6553600,496934.9232440853,262.6897888183594,314.0792236328125,4953.443,319.8324675324675,100046.21454251328,0.2763707584047328,4012.408163265306,3100.960542,13188.044738769531,895.511346,N/A
llama2_7b_mha_mha_prefill_b32_s8192,bf16,32,13107200,757000.042565053,345.923583984375,682.5615234375,9152.846,332.81912454212454,203205.65161796942,0.5613415790551641,5405.030927835051,6350.680207,17314.662170410156,1714.222656,N/A
llama2_7b_mha_mha_decode_b16_sinit3840+t256,bf16,16,19200,3059.7118506000074,5.229250590006511,,1524.567710378098,254.3073850678733,609.9857211080848,0.0016850434284753726,,2094.333402,6275.1007080078125,0.347698,N/A
llama2_7b_mha_mha_prefill_b1_s128,int8_wo,1,6400,263713.0799490818,0.4843519926071167,1.87391996383667,40.379,221.79879999999997,35948.01684768949,0.09930391394389362,124.17910447761194,41.661016,24.268800020217896,1.284075,N/A
llama2_7b_mha_mha_prefill_b1_s256,int8_wo,1,12800,462962.98089635273,0.5529599785804749,1.6435199975967407,24.082,218.2313333333333,64079.64692664136,0.17701559924486562,241.37142857142857,53.365678,27.647998929023743,2.397486,N/A
llama2_7b_mha_mha_prefill_b1_s512,int8_wo,1,25600,684931.4797782209,0.7475200295448303,3.492863893508911,19.279,219.91600000000003,97675.56874223017,0.26982201310008336,458.10526315789474,66.356362,37.376001477241516,1.468099,N/A
llama2_7b_mha_mha_prefill_b1_s1024,int8_wo,1,51200,930232.5265481072,1.099776029586792,2.8129279613494873,22.253,211.40533333333335,140460.40825310996,0.3880121774947789,837.8181818181819,72.583317,55.04000186920166,2.067263,N/A
llama2_7b_mha_mha_prefill_b1_s2048,int8_wo,1,102400,1004520.3281847864,2.0295679569244385,3.902463912963867,31.925,219.0675,168530.54522347046,0.4655539923300289,1462.857142857143,128.678336,101.93920135498047,12.09088,N/A
llama2_7b_mha_mha_prefill_b1_s4096,int8_wo,1,204800,914703.8639131776,4.464640140533447,9.414655685424805,90.77,238.5175,184154.21161087183,0.5087132917427399,2457.6,142.061154,223.8976001739502,22.844096,N/A
llama2_7b_mha_mha_prefill_b1_s8192,int8_wo,1,409600,653754.9903994702,12.476415634155273,22.213632583618164,273.171,256.47936363636364,175491.01896015738,0.48478182033192646,4096.0,210.658335,626.5344142913818,46.169278,N/A
llama2_7b_mha_mha_prefill_b4_s128,int8_wo,4,25600,665778.9488549213,0.7690240144729614,0.8294399976730347,16.742,276.86733333333336,90755.57751968472,0.2507060152477478,437.89473684210526,37.414303,38.45120072364807,6.186306,N/A
llama2_7b_mha_mha_prefill_b4_s256,int8_wo,4,51200,868055.5248516892,1.176576018333435,3.428352117538452,18.288,282.35699999999997,120149.32908354882,0.3319042239877039,768.0,42.390293,58.982402086257935,2.261513,N/A
llama2_7b_mha_mha_prefill_b4_s512,int8_wo,4,102400,1050972.1189288616,1.9445760250091553,4.404223918914795,47.522,272.19675,149875.2831186012,0.41402011911215797,1243.4285714285713,76.692334,97.433602809906,11.860546,N/A
llama2_7b_mha_mha_prefill_b4_s1024,int8_wo,4,204800,1047120.4233616905,3.87174391746521,7.471104145050049,79.36,253.6592,158109.88968675476,0.4367676510683833,1843.2,140.561015,195.5839991569519,19.424537,N/A
llama2_7b_mha_mha_prefill_b4_s2048,int8_wo,4,409600,813090.74635105,9.762816429138184,18.448383331298828,210.81,244.98629999999997,136413.9907913278,0.37683422870532535,2560.0,218.246421,503.75680923461914,52.948297,N/A
llama2_7b_mha_mha_prefill_b4_s4096,int8_wo,4,819200,760383.9757638377,21.4968318939209,32.15564727783203,439.79,275.7900625,153085.51445194404,0.4228881614694586,3510.8571428571427,387.753122,1077.3504257202148,94.257008,N/A
llama2_7b_mha_mha_prefill_b4_s8192,int8_wo,4,1638400,679189.1915270385,48.18431854248047,60.31052780151367,956.452,279.24915625,182318.4603378319,0.5036421556293699,5041.2307692307695,789.958744,2412.2880935668945,200.553607,N/A
llama2_7b_mha_mha_prefill_b16_s128,int8_wo,16,102400,1107419.7030158788,1.8298879861831665,3.6229119300842285,50.304,278.8465,150957.78392624515,0.4170104528349314,1188.5714285714287,71.870424,92.467200756073,30.23009,N/A
llama2_7b_mha_mha_prefill_b16_s256,int8_wo,16,204800,1089324.6125829997,3.7160959243774414,6.974463939666748,84.245,247.57219999999998,150775.63313522574,0.41650727385421477,1689.6,145.976572,188.00640106201172,22.23699,N/A
llama2_7b_mha_mha_prefill_b16_s512,int8_wo,16,409600,968523.0533355839,8.318976402282715,13.398015975952148,169.53,232.80462500000002,138117.5239677202,0.3815401214577906,2176.0,292.807477,422.91197776794434,47.467925,N/A
llama2_7b_mha_mha_prefill_b16_s1024,int8_wo,16,819200,1023606.9624392967,16.00204849243164,20.0581111907959,325.447,240.11091666666667,154559.47597153168,0.4269598783743969,2633.1428571428573,428.164403,800.3071784973145,109.770731,N/A
llama2_7b_mha_mha_prefill_b16_s2048,int8_wo,16,1638400,984857.7926749641,33.24825668334961,33.71315383911133,682.721,274.0129090909091,165231.7191699109,0.45644121317654945,3150.769230769231,812.318269,1663.590431213379,229.314797,N/A
llama2_7b_mha_mha_prefill_b16_s4096,int8_wo,16,3276800,907943.1244875605,72.14591979980469,73.60819244384766,1486.153,300.31184782608693,182793.0949829123,0.5049533010577688,3932.16,2204.302351,3609.036636352539,417.979066,N/A
llama2_7b_mha_mha_prefill_b16_s8192,int8_wo,16,6553600,641237.5779428718,204.21119689941406,372.88653564453125,5402.737,311.60255688622755,172130.90163943032,0.47549972828571907,5349.877551020408,4528.280583,10220.23696899414,728.913098,N/A
llama2_7b_mha_mha_prefill_b32_s128,int8_wo,32,204800,1071237.2712597947,3.758080005645752,6.184959888458252,79.665,174.4086,146025.58008330635,0.40338558034062527,1664.0,144.748381,191.18080139160156,99.038748,N/A
llama2_7b_mha_mha_prefill_b32_s256,int8_wo,32,409600,896258.0775483034,9.054207801818848,13.740032196044922,177.49,198.252,124052.90170987425,0.342687573784183,2112.0,306.56841,457.01122283935547,54.769303,N/A
llama2_7b_mha_mha_prefill_b32_s512,int8_wo,32,819200,977397.6597121469,16.508928298950195,24.585216522216797,351.456,241.55778571428573,139383.09906652407,0.3850361852666411,2486.8571428571427,481.895261,838.1440162658691,106.848284,N/A
llama2_7b_mha_mha_prefill_b32_s1024,int8_wo,32,1638400,956537.3076888814,34.13811111450195,41.66963195800781,682.993,259.2928260869565,144432.2972083934,0.39898424643202596,2835.6923076923076,960.125466,1712.8448486328125,228.674453,N/A
llama2_7b_mha_mha_prefill_b32_s2048,int8_wo,32,3276800,987486.7113050845,66.35417938232422,74.32396697998047,1373.615,306.55116666666663,165672.77852695048,0.4576596091904709,3276.8,1800.310636,3318.3231353759766,347.935868,N/A
llama2_7b_mha_mha_prefill_b32_s4096,int8_wo,32,6553600,559743.9019868583,219.5793914794922,322.6644592285156,4908.54,319.3150326797385,112691.33217979621,0.31130202259612216,4012.408163265306,3092.653596,11708.211517333984,801.786992,N/A
llama2_7b_mha_mha_prefill_b32_s8192,int8_wo,32,13107200,635357.1468090035,412.3453369140625,730.0689697265625,9480.072,326.8987108013937,170552.38542653382,0.47113918626114315,5405.030927835051,7585.181445,20629.656982421875,1544.474283,N/A
