workload,dtype,batch_size,total_samples,throughput,latency_p50,latency_p99,energy_total,avg_power,achieved_gflops,utilization_pct,arith_intensity,phase_staging,phase_compute,phase_output,tta_sec
starcoder_7b_mqa_mqa_prefill_b4_s8192,bf16,4,1638400,1177856.2964611456,27.5599365234375,36.336639404296875,569.19,269.7206842105263,239603.9377201002,0.6618893307185088,5747.732368896925,781.310712,1391.0016059875488,177.893516,N/A
starcoder_7b_mqa_mqa_prefill_b16_s128,bf16,16,102400,2894355.9097621236,0.7065600156784058,3.3464319705963135,21.274,302.407,206376.74568556153,0.5701015074186783,1063.0839694656488,76.655783,35.37920117378235,29.858899,N/A
starcoder_7b_mqa_mqa_prefill_b16_s256,bf16,16,204800,2751031.614125646,1.4847999811172485,2.9686079025268555,49.013,268.53833333333336,201926.60080693895,0.5578082895219307,1462.857142857143,139.389888,74.44480061531067,21.204395,N/A
starcoder_7b_mqa_mqa_prefill_b16_s512,bf16,16,409600,2131628.0655414863,3.842047929763794,6.740992069244385,65.265,189.0208,165402.87825353898,0.4569140283246933,1859.5337423312883,267.93679,192.15359687805176,45.25143,N/A
starcoder_7b_mqa_mqa_prefill_b16_s1024,bf16,16,819200,2030199.2888576072,8.038399696350098,11.934720039367676,163.035,203.32975,174563.09646007867,0.48221849850850457,2292.641638225256,473.530408,403.5071849822998,104.376724,N/A
starcoder_7b_mqa_mqa_prefill_b16_s2048,bf16,16,1638400,2043422.850208828,16.03379249572754,19.274751663208008,328.362,201.19366666666667,209983.04754089605,0.5800636672400443,2903.493670886076,966.739156,801.7919540405273,260.484048,N/A
starcoder_7b_mqa_mqa_prefill_b16_s4096,bf16,16,3276800,1662251.299865258,39.28473663330078,50.48115158081055,827.622,272.8763846153846,226589.58647097665,0.6259380841739687,3970.027958993476,2204.969665,1971.3024139404297,393.699433,N/A
starcoder_7b_mqa_mqa_prefill_b16_s8192,bf16,16,6553600,711071.5840966097,183.78956604003906,228.52096557617188,3710.203,322.83735652173914,144648.84388894323,0.3995824416821636,6017.029815428301,3243.239564,9216.512298583984,677.798497,N/A
starcoder_7b_mqa_mqa_prefill_b32_s128,bf16,32,204800,2795248.1694889995,1.4582079648971558,3.959808111190796,22.687,228.2305,199310.0498307666,0.5505802481512889,1421.061224489796,152.016626,73.26719760894775,88.634794,N/A
starcoder_7b_mqa_mqa_prefill_b32_s256,bf16,32,409600,1720800.2547364687,4.757503986358643,9.779199600219727,94.821,201.19,126307.2893537383,0.34891516396060307,1759.0184049079755,244.186853,238.02878856658936,43.594589,N/A
starcoder_7b_mqa_mqa_prefill_b32_s512,bf16,32,819200,1667013.9655692042,9.812992095947266,15.053824424743652,182.675,229.386,129351.32186109136,0.3573240935389264,2068.9692832764504,411.910269,491.41759872436523,86.379312,N/A
starcoder_7b_mqa_mqa_prefill_b32_s1024,bf16,32,1638400,2028011.9434050508,15.649791717529297,22.549503326416016,327.333,215.25208333333333,174375.0214285674,0.4816989542225618,2429.4538878842677,1175.767702,807.8847885131836,256.429266,N/A
